population_size	beta	p_treatment	cost_of_resistance	strategy
100000	0.4	0.5	0.001	MFTStrategy;1;2;3
1000000	0.8	0.5	0.005	MFTStrategy;1;2;3
1000000	0.8	0.5	0.01	MFTStrategy;1;2;3
100000	0.4	0.6	0.001	MFTStrategy;1;2;3
1000000	0.8	0.6	0.005	MFTStrategy;1;2;3
1000000	0.8	0.6	0.01	MFTStrategy;1;2;3
100000	0.4	0.7	0.001	MFTStrategy;1;2;3
1000000	0.8	0.7	0.005	MFTStrategy;1;2;3
1000000	0.8	0.7	0.01	MFTStrategy;1;2;3
1000000	0.8	0.8	0.001	MFTStrategy;1;2;3
1000000	0.8	0.8	0.005	MFTStrategy;1;2;3
1000000	0.8	0.8	0.01	MFTStrategy;1;2;3
1000000	0.8	0.9	0.001	MFTStrategy;1;2;3
1000000	0.8	0.9	0.005	MFTStrategy;1;2;3
1000000	0.8	0.9	0.01	MFTStrategy;1;2;3
100000	0.4	0.5	0.001	CyclingStrategy;1;2;3
1000000	0.8	0.5	0.005	CyclingStrategy;1;2;3
1000000	0.8	0.5	0.01	CyclingStrategy;1;2;3
1000000	0.8	0.6	0.001	CyclingStrategy;1;2;3
1000000	0.8	0.6	0.005	CyclingStrategy;1;2;3
1000000	0.8	0.6	0.01	CyclingStrategy;1;2;3
1000000	0.8	0.7	0.001	CyclingStrategy;1;2;3
1000000	0.8	0.7	0.005	CyclingStrategy;1;2;3
1000000	0.8	0.7	0.01	CyclingStrategy;1;2;3
1000000	0.8	0.8	0.001	CyclingStrategy;1;2;3
1000000	0.8	0.8	0.005	CyclingStrategy;1;2;3
1000000	0.8	0.8	0.01	CyclingStrategy;1;2;3
1000000	0.8	0.9	0.001	CyclingStrategy;1;2;3
1000000	0.8	0.9	0.005	CyclingStrategy;1;2;3
1000000	0.8	0.9	0.01	CyclingStrategy;1;2;3
100000	0.1	0.0	0.001	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.5	0.005	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.5	0.01	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.6	0.001	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.6	0.005	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.6	0.01	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.7	0.001	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.7	0.005	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.7	0.01	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.8	0.001	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.8	0.005	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.8	0.01	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.9	0.001	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.9	0.005	AdaptiveCyclingStrategy;1;2;3
1000000	0.8	0.9	0.01	AdaptiveCyclingStrategy;1;2;3
