beta	f	relative_bitting_sd	k	cost_of_resistance	z	kappa	drug_half_life	strategy
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	1.000000	0.001000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	1.000000	0.005000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	1.000000	0.010000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	2.000000	0.001000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	2.000000	0.005000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	2.000000	0.010000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	4.000000	0.001000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	4.000000	0.005000	4.000000	1.000000	-1	3	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	1	1	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	1	2	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	1	3	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	9	1	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	9	2	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	9	3	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	28	1	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	28	2	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	28	3	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	-1	1	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	-1	2	
0.130000	0.500000	5.000000	4.000000	0.010000	4.000000	1.000000	-1	3	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	1	1	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	1	2	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	1	3	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	9	1	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	9	2	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	9	3	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	28	1	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	28	2	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	28	3	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	-1	1	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	-1	2	
0.130000	0.500000	10.000000	1.000000	0.001000	4.000000	1.000000	-1	3	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	1	1	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	1	2	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	1	3	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	9	1	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	9	2	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	9	3	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	28	1	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	28	2	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	28	3	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	-1	1	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	-1	2	
0.130000	0.500000	10.000000	1.000000	0.005000	4.000000	1.000000	-1	3	
