population_size	beta	p_treatment	total_time
100000	0.05	0	4735
100000	0.28	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.05	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.1	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.15	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.2	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.25	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.3	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.35	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.4	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.45	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.5	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.55	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.6	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.65	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.7	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.75	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.8	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.85	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.9	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	0.95	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	1.5	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	2	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	3	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	4	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	6	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	8	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
100000	12	0	4735
