population_size	beta	factor_effect_age_mature_immunity	immune_effect_on_progression_to_clinical	p_treatment	total_time
100000	0.05	0.1	0.1	0	4735
100000	0.05	0.1	0.2	0	4735
100000	0.05	0.1	0.3	0	4735
100000	0.05	0.1	0.4	0	4735
100000	0.05	0.1	0.5	0	4735
100000	0.05	0.2	0.1	0	4735
100000	0.05	0.2	0.2	0	4735
100000	0.05	0.2	0.3	0	4735
100000	0.05	0.2	0.4	0	4735
100000	0.05	0.2	0.5	0	4735
100000	0.05	0.3	0.1	0	4735
100000	0.05	0.3	0.2	0	4735
100000	0.05	0.3	0.3	0	4735
100000	0.05	0.3	0.4	0	4735
100000	0.05	0.3	0.5	0	4735
100000	0.05	0.4	0.1	0	4735
100000	0.05	0.4	0.2	0	4735
100000	0.05	0.4	0.3	0	4735
100000	0.05	0.4	0.4	0	4735
100000	0.05	0.4	0.5	0	4735
100000	0.05	0.5	0.1	0	4735
100000	0.05	0.5	0.2	0	4735
100000	0.05	0.5	0.3	0	4735
100000	0.05	0.5	0.4	0	4735
100000	0.05	0.5	0.5	0	4735
100000	0.05	1	0.1	0	4735
100000	0.05	1	0.2	0	4735
100000	0.05	1	0.3	0	4735
100000	0.05	1	0.4	0	4735
100000	0.05	1	0.5	0	4735
100000	0.05	2	0.1	0	4735
100000	0.05	2	0.2	0	4735
100000	0.05	2	0.3	0	4735
100000	0.05	2	0.4	0	4735
100000	0.05	2	0.5	0	4735
100000	0.05	3	0.1	0	4735
100000	0.05	3	0.2	0	4735
100000	0.05	3	0.3	0	4735
100000	0.05	3	0.4	0	4735
100000	0.05	3	0.5	0	4735
100000	0.05	4	0.1	0	4735
100000	0.05	4	0.2	0	4735
100000	0.05	4	0.3	0	4735
100000	0.05	4	0.4	0	4735
100000	0.05	4	0.5	0	4735
100000	0.05	5	0.1	0	4735
100000	0.05	5	0.2	0	4735
100000	0.05	5	0.3	0	4735
100000	0.05	5	0.4	0	4735
100000	0.05	5	0.5	0	4735
100000	0.1	0.1	0.1	0	4735
100000	0.1	0.1	0.2	0	4735
100000	0.1	0.1	0.3	0	4735
100000	0.1	0.1	0.4	0	4735
100000	0.1	0.1	0.5	0	4735
100000	0.1	0.2	0.1	0	4735
100000	0.1	0.2	0.2	0	4735
100000	0.1	0.2	0.3	0	4735
100000	0.1	0.2	0.4	0	4735
100000	0.1	0.2	0.5	0	4735
100000	0.1	0.3	0.1	0	4735
100000	0.1	0.3	0.2	0	4735
100000	0.1	0.3	0.3	0	4735
100000	0.1	0.3	0.4	0	4735
100000	0.1	0.3	0.5	0	4735
100000	0.1	0.4	0.1	0	4735
100000	0.1	0.4	0.2	0	4735
100000	0.1	0.4	0.3	0	4735
100000	0.1	0.4	0.4	0	4735
100000	0.1	0.4	0.5	0	4735
100000	0.1	0.5	0.1	0	4735
100000	0.1	0.5	0.2	0	4735
100000	0.1	0.5	0.3	0	4735
100000	0.1	0.5	0.4	0	4735
100000	0.1	0.5	0.5	0	4735
100000	0.1	1	0.1	0	4735
100000	0.1	1	0.2	0	4735
100000	0.1	1	0.3	0	4735
100000	0.1	1	0.4	0	4735
100000	0.1	1	0.5	0	4735
100000	0.1	2	0.1	0	4735
100000	0.1	2	0.2	0	4735
100000	0.1	2	0.3	0	4735
100000	0.1	2	0.4	0	4735
100000	0.1	2	0.5	0	4735
100000	0.1	3	0.1	0	4735
100000	0.1	3	0.2	0	4735
100000	0.1	3	0.3	0	4735
100000	0.1	3	0.4	0	4735
100000	0.1	3	0.5	0	4735
100000	0.1	4	0.1	0	4735
100000	0.1	4	0.2	0	4735
100000	0.1	4	0.3	0	4735
100000	0.1	4	0.4	0	4735
100000	0.1	4	0.5	0	4735
100000	0.1	5	0.1	0	4735
100000	0.1	5	0.2	0	4735
