beta	f	daily_cost_of_resistance_copies_pfmdr	mutation_factor	strategy
0.065000	0.400000	0.001000	1.000000	5,6,0.5,0.5
0.065000	0.400000	0.001000	1.000000	5,6,0.3,0.7
0.065000	0.400000	0.001000	1.000000	5,7,0.5,0.5
0.065000	0.400000	0.001000	1.000000	5,7,0.3,0.7
0.065000	0.400000	0.001000	2.000000	5,6,0.5,0.5
0.065000	0.400000	0.001000	2.000000	5,6,0.3,0.7
0.065000	0.400000	0.001000	2.000000	5,7,0.5,0.5
0.065000	0.400000	0.001000	2.000000	5,7,0.3,0.7
0.065000	0.400000	0.001000	0.500000	5,6,0.5,0.5
0.065000	0.400000	0.001000	0.500000	5,6,0.3,0.7
0.065000	0.400000	0.001000	0.500000	5,7,0.5,0.5
0.065000	0.400000	0.001000	0.500000	5,7,0.3,0.7
0.065000	0.400000	0.005000	1.000000	5,6,0.5,0.5
0.065000	0.400000	0.005000	1.000000	5,6,0.3,0.7
0.065000	0.400000	0.005000	1.000000	5,7,0.5,0.5
0.065000	0.400000	0.005000	1.000000	5,7,0.3,0.7
0.065000	0.400000	0.005000	2.000000	5,6,0.5,0.5
0.065000	0.400000	0.005000	2.000000	5,6,0.3,0.7
0.065000	0.400000	0.005000	2.000000	5,7,0.5,0.5
0.065000	0.400000	0.005000	2.000000	5,7,0.3,0.7
0.065000	0.400000	0.005000	0.500000	5,6,0.5,0.5
0.065000	0.400000	0.005000	0.500000	5,6,0.3,0.7
0.065000	0.400000	0.005000	0.500000	5,7,0.5,0.5
0.065000	0.400000	0.005000	0.500000	5,7,0.3,0.7
0.065000	0.500000	0.001000	1.000000	5,6,0.5,0.5
0.065000	0.500000	0.001000	1.000000	5,6,0.3,0.7
0.065000	0.500000	0.001000	1.000000	5,7,0.5,0.5
0.065000	0.500000	0.001000	1.000000	5,7,0.3,0.7
0.065000	0.500000	0.001000	2.000000	5,6,0.5,0.5
0.065000	0.500000	0.001000	2.000000	5,6,0.3,0.7
0.065000	0.500000	0.001000	2.000000	5,7,0.5,0.5
0.065000	0.500000	0.001000	2.000000	5,7,0.3,0.7
0.065000	0.500000	0.001000	0.500000	5,6,0.5,0.5
0.065000	0.500000	0.001000	0.500000	5,6,0.3,0.7
0.065000	0.500000	0.001000	0.500000	5,7,0.5,0.5
0.065000	0.500000	0.001000	0.500000	5,7,0.3,0.7
0.065000	0.500000	0.005000	1.000000	5,6,0.5,0.5
0.065000	0.500000	0.005000	1.000000	5,6,0.3,0.7
0.065000	0.500000	0.005000	1.000000	5,7,0.5,0.5
0.065000	0.500000	0.005000	1.000000	5,7,0.3,0.7
0.065000	0.500000	0.005000	2.000000	5,6,0.5,0.5
0.065000	0.500000	0.005000	2.000000	5,6,0.3,0.7
0.065000	0.500000	0.005000	2.000000	5,7,0.5,0.5
0.065000	0.500000	0.005000	2.000000	5,7,0.3,0.7
0.065000	0.500000	0.005000	0.500000	5,6,0.5,0.5
0.065000	0.500000	0.005000	0.500000	5,6,0.3,0.7
0.065000	0.500000	0.005000	0.500000	5,7,0.5,0.5
0.065000	0.500000	0.005000	0.500000	5,7,0.3,0.7
0.065000	0.600000	0.001000	1.000000	5,6,0.5,0.5
0.065000	0.600000	0.001000	1.000000	5,6,0.3,0.7
0.065000	0.600000	0.001000	1.000000	5,7,0.5,0.5
0.065000	0.600000	0.001000	1.000000	5,7,0.3,0.7
